보고서,영역,섹션,필드값,대응_지표#,GOLD_매핑,매핑근거,매핑교정,종전_매핑,앵커_팩트,앵커_경합,앵커_강제,조립가능도,판정_근거(실측)
회원,1. 개발현황,1-2. [회원] 개발실적보고 (주간) · CRM 필드,개발구성비2(%),(ratio-of-total),SV metric — 구성비/비중(%) = 부분/전체×100,SV파생,,,FACT_DEV_ACHIEVEMENT,FACT_DEV_ACHIEVEMENT / FACT_MEMBER_FEE / FACT_MEMBER_MONTHLY,,판정불가(SV파생),"⚠️ **앵커 경합** — 이 섹션은 `FACT_DEV_ACHIEVEMENT / FACT_MEMBER_FEE / FACT_MEMBER_MONTHLY` 가 동수로 경합하는 **혼합 섹션**이라 앵커를 하나 고르는 것 자체가 임의적이다. 판정은 `FACT_DEV_ACHIEVEMENT` 기준이며, **이 섹션은 한 표가 아니라 경합 팩트 수만큼의 쿼리로 나눠야 한다**(O47-B) ▸ SV metric — 물리 컬럼이 아니라 base 로 계산된다. base 의 조립가능도를 따른다"
회원,1. 개발현황,1-2. [회원] 개발실적보고 (주간) · CRM 필드,전년 동월 누계개발(건),(YTD),SV metric — 누계 = base 의 YTD running sum (P7·물리 미저장),SV파생,,,FACT_DEV_ACHIEVEMENT,FACT_DEV_ACHIEVEMENT / FACT_MEMBER_FEE / FACT_MEMBER_MONTHLY,,판정불가(SV파생),"⚠️ **앵커 경합** — 이 섹션은 `FACT_DEV_ACHIEVEMENT / FACT_MEMBER_FEE / FACT_MEMBER_MONTHLY` 가 동수로 경합하는 **혼합 섹션**이라 앵커를 하나 고르는 것 자체가 임의적이다. 판정은 `FACT_DEV_ACHIEVEMENT` 기준이며, **이 섹션은 한 표가 아니라 경합 팩트 수만큼의 쿼리로 나눠야 한다**(O47-B) ▸ SV metric — 물리 컬럼이 아니라 base 로 계산된다. base 의 조립가능도를 따른다"
회원,1. 개발현황,1-2. [회원] 개발실적보고 (주간) · GA 필드,방문수,공92,FACT_GA_BEHAVIOR.VISITS,필드인벤토리~,,,FACT_GA_BEHAVIOR,,,조립가능,앵커 팩트 `FACT_GA_BEHAVIOR` 자체의 컬럼
회원,1. 개발현황,1-2. [회원] 개발실적보고 (주간) · GA 필드,활성사용자,공93,FACT_GA_BEHAVIOR.ACTIVE_USERS,필드인벤토리~,,,FACT_GA_BEHAVIOR,,,조립가능,앵커 팩트 `FACT_GA_BEHAVIOR` 자체의 컬럼
회원,1. 개발현황,1-3. [회원] 개발실적보고 (월간) · CRM 필드,기준년월,,FACT_MEMBER_MONTHLY.MONTH_KEY,교정등록부(WRONG_GRAIN),WRONG_GRAIN,FACT_MEMBER_MONTHLY.MONTH_KEY,FACT_MEMBER_MONTHLY,,,조립가능,[매핑교정 WRONG_GRAIN] 월 팩트에 `DIM_DATE`(일 차원)를 걸 수 없다. 월 축은 `MONTH_KEY` 이고 라벨은 `SERVING.DIM_MONTH` 다. ▸ 종전 매핑 `FACT_MEMBER_MONTHLY.MONTH_KEY` → 교정 `FACT_MEMBER_MONTHLY.MONTH_KEY` ▸ 앵커 팩트 `FACT_MEMBER_MONTHLY` 자체의 컬럼
회원,1. 개발현황,1-3. [회원] 개발실적보고 (월간) · CRM 필드,월 목표,(215밖),FACT_DEV_ACHIEVEMENT.GOAL_CNT,필드인벤토리~,,,FACT_MEMBER_MONTHLY,,,grain부정합,엔티티축 상이 — `FACT_MEMBER_MONTHLY`=MEMBER_DK vs `FACT_DEV_ACHIEVEMENT`=ORG_SK
회원,1. 개발현황,1-3. [회원] 개발실적보고 (월간) · CRM 필드,개발(명),공148,FACT_MEMBER_MONTHLY.DEV_MEMBERS,필드인벤토리,,,FACT_MEMBER_MONTHLY,,,조립가능,"앵커 팩트 `FACT_MEMBER_MONTHLY` 자체의 컬럼 ▸ 🔴 **비가산 처방**: 🔴 **[O56 신규 적발]** `DEV_MEMBERS` 도 비가산이다 — 실측 `SUM(DEV_MEMBERS)` **1,996,977** vs 실제 distinct 개발회원 **1,585,923** = **410,054 과대(25.9%)**. 회원-월 grain 이라 **같은 회원이 여러 달에 개발**되면 중복 계상된다(`SUM(DEV_CNT)` = 2,291,878 은 건수라 정상). ⇒ 「개발(명)」을 여러 월에 걸쳐 물으면 **`COUNT(DISTINCT MEMBER_DK)`** 로 낸다. O49 는 이 필드를 검사하지 않았다(P79/O39 와 같은 유형의 3건째 재발)"
회원,1. 개발현황,1-3. [회원] 개발실적보고 (월간) · CRM 필드,개발(건),공4·5·149,FACT_MEMBER_MONTHLY.DEV_CNT,필드인벤토리,,,FACT_MEMBER_MONTHLY,,,조립가능,앵커 팩트 `FACT_MEMBER_MONTHLY` 자체의 컬럼
회원,1. 개발현황,1-3. [회원] 개발실적보고 (월간) · CRM 필드,월목표 대비 달성율(%),공1·2·3,SV metric — 목표달성율(%) = 개발(건)/회원개발목표 (FTG_D 분모),SV파생,,,FACT_MEMBER_MONTHLY,,,판정불가(SV파생),SV metric — 물리 컬럼이 아니라 base 로 계산된다. base 의 조립가능도를 따른다
회원,1. 개발현황,1-3. [회원] 개발실적보고 (월간) · CRM 필드,누계 목표,(YTD),SV metric — 누계 = base 의 YTD running sum (P7·물리 미저장),SV파생,,,FACT_MEMBER_MONTHLY,,,판정불가(SV파생),SV metric — 물리 컬럼이 아니라 base 로 계산된다. base 의 조립가능도를 따른다
회원,1. 개발현황,1-3. [회원] 개발실적보고 (월간) · CRM 필드,누계 개발(건),(YTD),SV metric — 누계 = base 의 YTD running sum (P7·물리 미저장) · base: FACT_MEMBER_MONTHLY.DEV_CNT,SV파생,,,FACT_MEMBER_MONTHLY,,,판정불가(SV파생),SV metric — 물리 컬럼이 아니라 base 로 계산된다. base 의 조립가능도를 따른다
회원,1. 개발현황,1-3. [회원] 개발실적보고 (월간) · CRM 필드,누계목표 대비 달성율(%),공1·2·3,SV metric — 목표달성율(%) = 개발(건)/회원개발목표 (FTG_D 분모),SV파생,,,FACT_MEMBER_MONTHLY,,,판정불가(SV파생),SV metric — 물리 컬럼이 아니라 base 로 계산된다. base 의 조립가능도를 따른다
회원,1. 개발현황,1-3. [회원] 개발실적보고 (월간) · CRM 필드,연목표,공3,SV metric — 분자: DEV_CNT(YR) / 분모: GOAL_CNT(YR),지표사전~,,,FACT_MEMBER_MONTHLY,,,판정불가(SV파생),SV metric — 물리 컬럼이 아니라 base 로 계산된다. base 의 조립가능도를 따른다
회원,1. 개발현황,1-3. [회원] 개발실적보고 (월간) · CRM 필드,연목표 대비 달성율(%),공1·2·3,SV metric — 목표달성율(%) = 개발(건)/회원개발목표 (FTG_D 분모),SV파생,,,FACT_MEMBER_MONTHLY,,,판정불가(SV파생),SV metric — 물리 컬럼이 아니라 base 로 계산된다. base 의 조립가능도를 따른다
회원,1. 개발현황,1-3. [회원] 개발실적보고 (월간) · CRM 필드,당월 1인당 후원건수,공61,SV metric — 1명당 건수 = 활동회원(건)/활동회원(명),SV파생,,,FACT_MEMBER_MONTHLY,,,판정불가(SV파생),SV metric — 물리 컬럼이 아니라 base 로 계산된다. base 의 조립가능도를 따른다
회원,1. 개발현황,1-3. [회원] 개발실적보고 (월간) · CRM 필드,전년 동월 개발(명),공148,FACT_MEMBER_MONTHLY.DEV_MEMBERS,필드인벤토리~,,,FACT_MEMBER_MONTHLY,,,조립가능,"앵커 팩트 `FACT_MEMBER_MONTHLY` 자체의 컬럼 ▸ 🔴 **비가산 처방**: 🔴 **[O56 신규 적발]** `DEV_MEMBERS` 도 비가산이다 — 실측 `SUM(DEV_MEMBERS)` **1,996,977** vs 실제 distinct 개발회원 **1,585,923** = **410,054 과대(25.9%)**. 회원-월 grain 이라 **같은 회원이 여러 달에 개발**되면 중복 계상된다(`SUM(DEV_CNT)` = 2,291,878 은 건수라 정상). ⇒ 「개발(명)」을 여러 월에 걸쳐 물으면 **`COUNT(DISTINCT MEMBER_DK)`** 로 낸다. O49 는 이 필드를 검사하지 않았다(P79/O39 와 같은 유형의 3건째 재발)"
회원,1. 개발현황,1-3. [회원] 개발실적보고 (월간) · CRM 필드,전년 동월 개발(건),공4·5·149,FACT_MEMBER_MONTHLY.DEV_CNT,필드인벤토리~,,,FACT_MEMBER_MONTHLY,,,조립가능,앵커 팩트 `FACT_MEMBER_MONTHLY` 자체의 컬럼
회원,1. 개발현황,1-3. [회원] 개발실적보고 (월간) · CRM 필드,전년 동월대비 증감(%),공60,SV metric — 증감율(%) = (당기−전기)/전기×100 (P7 시계열),SV파생,,,FACT_MEMBER_MONTHLY,,,판정불가(SV파생),SV metric — 물리 컬럼이 아니라 base 로 계산된다. base 의 조립가능도를 따른다
회원,1. 개발현황,1-3. [회원] 개발실적보고 (월간) · CRM 필드,전년 누계개발(명),(YTD),SV metric — 누계 = base 의 YTD running sum (P7·물리 미저장),SV파생,,,FACT_MEMBER_MONTHLY,,,판정불가(SV파생),SV metric — 물리 컬럼이 아니라 base 로 계산된다. base 의 조립가능도를 따른다
회원,1. 개발현황,1-3. [회원] 개발실적보고 (월간) · CRM 필드,전년 누계개발(건),(YTD),SV metric — 누계 = base 의 YTD running sum (P7·물리 미저장),SV파생,,,FACT_MEMBER_MONTHLY,,,판정불가(SV파생),SV metric — 물리 컬럼이 아니라 base 로 계산된다. base 의 조립가능도를 따른다
회원,1. 개발현황,1-3. [회원] 개발실적보고 (월간) · CRM 필드,전년 누계대비 증감(%),공60,SV metric — 증감율(%) = (당기−전기)/전기×100 (P7 시계열),SV파생,,,FACT_MEMBER_MONTHLY,,,판정불가(SV파생),SV metric — 물리 컬럼이 아니라 base 로 계산된다. base 의 조립가능도를 따른다
회원,1. 개발현황,1-3. [회원] 개발실적보고 (월간) · CRM 필드,전년 대비 증감(%),공60,SV metric — 증감율(%) = (당기−전기)/전기×100 (P7 시계열),SV파생,,,FACT_MEMBER_MONTHLY,,,판정불가(SV파생),SV metric — 물리 컬럼이 아니라 base 로 계산된다. base 의 조립가능도를 따른다
회원,1. 개발현황,1-3. [회원] 개발실적보고 (월간) · CRM 필드,부서,,DIM_MEMBER_ACQUISITION.ACQ_DEPARTMENT (회원분석) / WIDE_MEMBER_EVENT.ORG_DEPARTMENT (개발실적),교정등록부(OPENED_O45),OPENED_O45,DIM_MEMBER_ACQUISITION.ACQ_DEPARTMENT (회원분석) / WIDE_MEMBER_EVENT.ORG_DEPARTMENT (개발실적),FACT_MEMBER_MONTHLY,,,조립가능,[매핑교정 OPENED_O45] 🔴 **같은 라벨이 두 축이다**(O34 `_AT_PLEDGE`/`_AT_EVENT` 규약 재적용). 개발실적보고의 부서 = **사건 부서** · 연간분석(회비)의 부서 = **획득 부서**. 두 값은 다르다. ▸ 종전 매핑 `DIM_MEMBER_ACQUISITION.ACQ_DEPARTMENT (회원분석) / WIDE_MEMBER_EVENT.ORG_DEPARTMENT (개발실적)` → 교정 `DIM_MEMBER_ACQUISITION.ACQ_DEPARTMENT (회원분석) / WIDE_MEMBER_EVENT.ORG_DEPARTMENT (개발실적)` ▸ `FACT_MEMBER_MONTHLY` → `DIM_MEMBER_ACQUISITION` FK 생존(비영 존재)
회원,1. 개발현황,1-3. [회원] 개발실적보고 (월간) · CRM 필드,브랜드,,DIM_MEMBER_ACQUISITION.ACQ_BRAND,교정등록부(OPENED_O45),OPENED_O45,DIM_MEMBER_ACQUISITION.ACQ_BRAND,FACT_MEMBER_MONTHLY,,,조립가능,[매핑교정 OPENED_O45] [O45] `FMM.CAMPAIGN_SK` 는 O8(다중귀속 규칙 미확정)로 전건 센티넬이다. **「획득 시점」 명시 규칙**으로 회원 1행에 캠페인을 확정해 우회했다(팬아웃 0 실측). ▸ 종전 매핑 `DIM_MEMBER_ACQUISITION.ACQ_BRAND` → 교정 `DIM_MEMBER_ACQUISITION.ACQ_BRAND` ▸ `FACT_MEMBER_MONTHLY` → `DIM_MEMBER_ACQUISITION` FK 생존(비영 존재)
회원,1. 개발현황,1-3. [회원] 개발실적보고 (월간) · CRM 필드,홍보방법,,DIM_MEMBER_ACQUISITION.ACQ_PROMO_METHOD_NAME,교정등록부(OPENED_O45),OPENED_O45,DIM_MEMBER_ACQUISITION.ACQ_PROMO_METHOD_NAME,FACT_MEMBER_MONTHLY,,,조립가능,[매핑교정 OPENED_O45] 위와 동일 경로. ▸ 종전 매핑 `DIM_MEMBER_ACQUISITION.ACQ_PROMO_METHOD_NAME` → 교정 `DIM_MEMBER_ACQUISITION.ACQ_PROMO_METHOD_NAME` ▸ `FACT_MEMBER_MONTHLY` → `DIM_MEMBER_ACQUISITION` FK 생존(비영 존재)
회원,1. 개발현황,1-3. [회원] 개발실적보고 (월간) · CRM 필드,상위캠페인,,DIM_MEMBER_ACQUISITION.ACQ_PARENT_CAMPAIGN_NAME,교정등록부(OPENED_O45),OPENED_O45,DIM_MEMBER_ACQUISITION.ACQ_PARENT_CAMPAIGN_NAME,FACT_MEMBER_MONTHLY,,,조립가능,[매핑교정 OPENED_O45] 위와 동일 경로. ▸ 종전 매핑 `DIM_MEMBER_ACQUISITION.ACQ_PARENT_CAMPAIGN_NAME` → 교정 `DIM_MEMBER_ACQUISITION.ACQ_PARENT_CAMPAIGN_NAME` ▸ `FACT_MEMBER_MONTHLY` → `DIM_MEMBER_ACQUISITION` FK 생존(비영 존재)
회원,1. 개발현황,1-3. [회원] 개발실적보고 (월간) · CRM 필드,캠페인,,DIM_MEMBER_ACQUISITION.ACQ_CAMPAIGN_NAME,교정등록부(OPENED_O45),OPENED_O45,DIM_MEMBER_ACQUISITION.ACQ_CAMPAIGN_NAME,FACT_MEMBER_MONTHLY,,,조립가능,[매핑교정 OPENED_O45] 위와 동일 경로. ▸ 종전 매핑 `DIM_MEMBER_ACQUISITION.ACQ_CAMPAIGN_NAME` → 교정 `DIM_MEMBER_ACQUISITION.ACQ_CAMPAIGN_NAME` ▸ `FACT_MEMBER_MONTHLY` → `DIM_MEMBER_ACQUISITION` FK 생존(비영 존재)
회원,1. 개발현황,1-3. [회원] 개발실적보고 (월간) · CRM 필드,후원사업,,FACT_MEMBER_FEE.SPONSORSHIP_SK (회비) / DIM_MEMBER_ACQUISITION.ACQ_SPONSORSHIP_SK (획득),교정등록부(OPENED_O45),OPENED_O45,FACT_MEMBER_FEE.SPONSORSHIP_SK (회비) / DIM_MEMBER_ACQUISITION.ACQ_SPONSORSHIP_SK (획득),FACT_MEMBER_MONTHLY,,,조립가능,"[매핑교정 OPENED_O45] 🔴 **같은 라벨이 두 축이다**. 회비·미납 분석의 후원사업 = **납입 대상**(회비 행에 붙은 값, `SPNSR_BSNS_ID` 채움 99.83%) → `FACT_MEMBER_FEE`. 개발·중단·회원특성 분석의 후원사업 = **획득 시점**(그 회원을 데려온 사업) → `DIM_MEMBER_ACQUISITION`. 한 회원이 여러 후원사업에 내므로 회원-월 grain 에 하나로 붙일 수 없다(회원-월 37,148,615 → 회원-월-후원사업 39,563,730). ⚠️ 목표(`FACT_TARGET_DEV`)에는 후원사업 축이 없어 **목표 대비 후원사업별 달성률은 불가**하다. ▸ 종전 매핑 `FACT_MEMBER_FEE.SPONSORSHIP_SK (회비) / DIM_MEMBER_ACQUISITION.ACQ_SPONSORSHIP_SK (획득)` → 교정 `FACT_MEMBER_FEE.SPONSORSHIP_SK (회비) / DIM_MEMBER_ACQUISITION.ACQ_SPONSORSHIP_SK (획득)` ▸ [축 병기 — 앵커 `FACT_MEMBER_MONTHLY` 에 맞는 축 선택] `DIM_MEMBER_ACQUISITION.ACQ_SPONSORSHIP_SK` ▸ `FACT_MEMBER_MONTHLY` → `DIM_MEMBER_ACQUISITION` FK 생존(비영 존재) ▸ 다른 병기 축 `FACT_MEMBER_FEE.SPONSORSHIP_SK` 은 `형제팩트중복` (O47)"
회원,1. 개발현황,1-3. [회원] 개발실적보고 (월간) · CRM 필드,개발구분,공121,FACT_MEMBER_MONTHLY.DEV_TYPE,필드인벤토리,,,FACT_MEMBER_MONTHLY,,,값없음,"`FACT_MEMBER_MONTHLY.DEV_TYPE` 전건 NULL (40,054,883행)"
회원,1. 개발현황,1-3. [회원] 개발실적보고 (월간) · CRM 필드,연령대,(215밖),DIM_MEMBER.AGE_BAND,필드인벤토리,,,FACT_MEMBER_MONTHLY,,,조립가능,"`FACT_MEMBER_MONTHLY` → `DIM_MEMBER` FK 생존(비영 존재) ▸ 🔴 `DIM_MEMBER` 는 **SCD2** 다 — 실측(O56) **7,925,716행 / 회원 1,763,065**(현재행 1,763,065). `IS_CURRENT = TRUE` 없이 조인하면 **4.49배 팬아웃**한다(FGA 실측 68,836 → 161,729 = 2.35배). ⇒ `DIM_MEMBER_CURRENT` 를 쓰거나 `IS_CURRENT = TRUE` 를 명시할 것"
회원,1. 개발현황,1-3. [회원] 개발실적보고 (월간) · CRM 필드,지역,공131,DIM_MEMBER.REGION,필드인벤토리,,,FACT_MEMBER_MONTHLY,,,조립가능,"`FACT_MEMBER_MONTHLY` → `DIM_MEMBER` FK 생존(비영 존재) ▸ 🔴 `DIM_MEMBER` 는 **SCD2** 다 — 실측(O56) **7,925,716행 / 회원 1,763,065**(현재행 1,763,065). `IS_CURRENT = TRUE` 없이 조인하면 **4.49배 팬아웃**한다(FGA 실측 68,836 → 161,729 = 2.35배). ⇒ `DIM_MEMBER_CURRENT` 를 쓰거나 `IS_CURRENT = TRUE` 를 명시할 것"
회원,1. 개발현황,1-3. [회원] 개발실적보고 (월간) · CRM 필드,후원금액대(약정금액 기준 ÷ 10000원),공72,FACT_MEMBER_MONTHLY.AMOUNT_BAND1,필드인벤토리·별칭등록부,,,FACT_MEMBER_MONTHLY,,,값없음,"`FACT_MEMBER_MONTHLY.AMOUNT_BAND1` 전건 NULL (40,054,883행)"
회원,1. 개발현황,1-3. [회원] 개발실적보고 (월간) · CRM 필드,후원금액대2,공73,FMM(스냅샷),지표사전,,,FACT_MEMBER_MONTHLY,,,조립가능,앵커 팩트 `FACT_MEMBER_MONTHLY` 자체의 컬럼
회원,1. 개발현황,1-3. [회원] 개발실적보고 (월간) · CRM 필드,후원기간대(납입기준),공74,FACT_MEMBER_MONTHLY.PERIOD_BAND1,필드인벤토리·별칭등록부,,,FACT_MEMBER_MONTHLY,,,값없음,"`FACT_MEMBER_MONTHLY.PERIOD_BAND1` 전건 NULL (40,054,883행)"
회원,1. 개발현황,1-3. [회원] 개발실적보고 (월간) · CRM 필드,회원번호,,DIM_MEMBER.MEMBER_DK,교정등록부(WRONG_DIM),WRONG_DIM,DIM_MEMBER.MEMBER_DK,FACT_MEMBER_MONTHLY,,,조립가능,"[매핑교정 WRONG_DIM] `DIM_MEMBER_IDENTITY` 는 GA↔CRM 신원 브리지 전용 차원이고 **CRM 팩트에서 가는 FK 가 없다**. 회원번호는 모든 팩트에 `MEMBER_DK` 로 실재하고 `DIM_MEMBER` 자연키 조인이 살아 있다. 이 오매핑이 12필드에 걸쳐 반복됐다. ▸ 종전 매핑 `DIM_MEMBER.MEMBER_DK` → 교정 `DIM_MEMBER.MEMBER_DK` ▸ 앵커 팩트 `FACT_MEMBER_MONTHLY` 가 **동명 degenerate 컬럼 `MEMBER_DK` 을 직접 보유**한다 (실측 채움 40,054,883/40,054,883) — `DIM_MEMBER` 를 경유할 필요가 없다. 매핑을 앵커 로컬로 교정할 것(O47·P96-②)"
회원,1. 개발현황,1-3. [회원] 개발실적보고 (월간) · CRM 필드,인바운드콜수,(215밖),FACT_MEMBER_MONTHLY.INBOUND_CALL_CNT,필드인벤토리,,,FACT_MEMBER_MONTHLY,,,값없음,"`FACT_MEMBER_MONTHLY.INBOUND_CALL_CNT` 전건 0 (40,054,883행)"
회원,1. 개발현황,1-3. [회원] 개발실적보고 (월간) · CRM 필드,TS콜수,(215밖),FACT_MEMBER_MONTHLY.TS_CALL_CNT,필드인벤토리,,,FACT_MEMBER_MONTHLY,,,값없음,"`FACT_MEMBER_MONTHLY.TS_CALL_CNT` 전건 0 (40,054,883행)"
회원,1. 개발현황,1-3. [회원] 개발실적보고 (월간) · GA 필드,방문수,공92,FACT_GA_BEHAVIOR.VISITS,필드인벤토리~,,,FACT_GA_BEHAVIOR,,,조립가능,앵커 팩트 `FACT_GA_BEHAVIOR` 자체의 컬럼
회원,1. 개발현황,1-3. [회원] 개발실적보고 (월간) · GA 필드,활성사용자,공93,FACT_GA_BEHAVIOR.ACTIVE_USERS,필드인벤토리~,,,FACT_GA_BEHAVIOR,,,조립가능,앵커 팩트 `FACT_GA_BEHAVIOR` 자체의 컬럼
회원,1. 개발현황,1-3. [회원] 개발실적보고 (월간) · GA 필드,방문수,공92,FACT_GA_BEHAVIOR.VISITS,필드인벤토리~,,,FACT_GA_BEHAVIOR,,,조립가능,앵커 팩트 `FACT_GA_BEHAVIOR` 자체의 컬럼
회원,1. 개발현황,1-3. [회원] 개발실적보고 (월간) · GA 필드,활성사용자,공93,FACT_GA_BEHAVIOR.ACTIVE_USERS,필드인벤토리~,,,FACT_GA_BEHAVIOR,,,조립가능,앵커 팩트 `FACT_GA_BEHAVIOR` 자체의 컬럼
회원,1. 개발현황,1-3. [회원] 개발실적보고 (월간) · GA 필드,이벤트수,공95,FACT_GA_BEHAVIOR.EVENT_CNT,필드인벤토리~,,,FACT_GA_BEHAVIOR,,,조립가능,앵커 팩트 `FACT_GA_BEHAVIOR` 자체의 컬럼
회원,2. 회원특성,2-1. [회원] 주간 중단보고,기준일자,(215밖),DIM_DATE.FULL_DATE,필드인벤토리·별칭등록부,,,FACT_MEMBER_EVENT,,,조립가능,`FACT_MEMBER_EVENT` → `DIM_DATE` FK 생존(비영 존재)
회원,2. 회원특성,2-1. [회원] 주간 중단보고,신규기존구분,공113,DIM_MEMBER.NEW_EXISTING_FLAG,필드인벤토리,,,FACT_MEMBER_EVENT,,,조립가능,"`FACT_MEMBER_EVENT` → `DIM_MEMBER` FK 생존(비영 존재) ▸ 🔴 `DIM_MEMBER` 는 **SCD2** 다 — 실측(O56) **7,925,716행 / 회원 1,763,065**(현재행 1,763,065). `IS_CURRENT = TRUE` 없이 조인하면 **4.49배 팬아웃**한다(FGA 실측 68,836 → 161,729 = 2.35배). ⇒ `DIM_MEMBER_CURRENT` 를 쓰거나 `IS_CURRENT = TRUE` 를 명시할 것"
회원,2. 회원특성,2-1. [회원] 주간 중단보고,중단(명) *당월 주차,(215밖),FACT_MEMBER_EVENT.STOP_MEMBERS,필드인벤토리~,,,FACT_MEMBER_EVENT,,,조립가능,"앵커 팩트 `FACT_MEMBER_EVENT` 자체의 컬럼 ▸ 🔴 **비가산 처방**: `STOP_MEMBERS` 는 「명」이 아니라 **사건행당 1 인 플래그**다 — 실측(O56) `SUM(STOP_MEMBERS) = SUM(STOP_CNT) = 중단행수` 가 전부 **1,038,262** 로 동일하다. 주차별로 집계해 더하면 **972,925** 인데 실제 distinct 회원은 **903,064** 라 **7.74% 과대**다(같은 회원이 여러 주에 중단). 🟢 BRONZE 독립 확증: 원천 `TM_MM_FDRM_MBER_SPNSR_DSCNTC` 행 **1,038,262** · distinct `MBER_NO` **903,064** — GOLD 와 정확히 일치한다. ⇒ 처방은 「사전집계 후 SUM」이 아니라 **`COUNT(DISTINCT MEMBER_DK)`(비가산)** 이며 **주차 합계를 월로 더하지 않는다**"
회원,2. 회원특성,2-1. [회원] 주간 중단보고,중단(건) *당월 주차,,FACT_MEMBER_EVENT.STOP_CNT,교정등록부(WRONG_GRAIN),WRONG_GRAIN,FACT_MEMBER_EVENT.STOP_CNT,FACT_MEMBER_EVENT,,,조립가능,[매핑교정 WRONG_GRAIN] [O56] 주차 축은 `FME.DATE_SK` 에만 있다 — `FMM` 은 `MONTH_KEY` 뿐이라 주차 분해가 불가하다. 이관 손실 0(월 롤업 466개월 전건 일치). ▸ 종전 매핑 `FACT_MEMBER_EVENT.STOP_CNT` → 교정 `FACT_MEMBER_EVENT.STOP_CNT` ▸ 앵커 팩트 `FACT_MEMBER_EVENT` 자체의 컬럼
회원,2. 회원특성,2-1. [회원] 주간 중단보고,중단(명) *전년 동월 주차,(215밖),FACT_MEMBER_EVENT.STOP_MEMBERS,필드인벤토리~,,,FACT_MEMBER_EVENT,,,조립가능,"앵커 팩트 `FACT_MEMBER_EVENT` 자체의 컬럼 ▸ 🔴 **비가산 처방**: `STOP_MEMBERS` 는 「명」이 아니라 **사건행당 1 인 플래그**다 — 실측(O56) `SUM(STOP_MEMBERS) = SUM(STOP_CNT) = 중단행수` 가 전부 **1,038,262** 로 동일하다. 주차별로 집계해 더하면 **972,925** 인데 실제 distinct 회원은 **903,064** 라 **7.74% 과대**다(같은 회원이 여러 주에 중단). 🟢 BRONZE 독립 확증: 원천 `TM_MM_FDRM_MBER_SPNSR_DSCNTC` 행 **1,038,262** · distinct `MBER_NO` **903,064** — GOLD 와 정확히 일치한다. ⇒ 처방은 「사전집계 후 SUM」이 아니라 **`COUNT(DISTINCT MEMBER_DK)`(비가산)** 이며 **주차 합계를 월로 더하지 않는다**"
회원,2. 회원특성,2-1. [회원] 주간 중단보고,중단(건) *전년 동월 주차,,FACT_MEMBER_EVENT.STOP_CNT,교정등록부(WRONG_GRAIN),WRONG_GRAIN,FACT_MEMBER_EVENT.STOP_CNT,FACT_MEMBER_EVENT,,,조립가능,[매핑교정 WRONG_GRAIN] [O56] 위와 동일 — 주차 축은 `FME` 뿐이다. ▸ 종전 매핑 `FACT_MEMBER_EVENT.STOP_CNT` → 교정 `FACT_MEMBER_EVENT.STOP_CNT` ▸ 앵커 팩트 `FACT_MEMBER_EVENT` 자체의 컬럼
회원,2. 회원특성,2-1. [회원] 주간 중단보고,중단(명) *전전년 동월 주차,(215밖),FACT_MEMBER_EVENT.STOP_MEMBERS,필드인벤토리~,,,FACT_MEMBER_EVENT,,,조립가능,"앵커 팩트 `FACT_MEMBER_EVENT` 자체의 컬럼 ▸ 🔴 **비가산 처방**: `STOP_MEMBERS` 는 「명」이 아니라 **사건행당 1 인 플래그**다 — 실측(O56) `SUM(STOP_MEMBERS) = SUM(STOP_CNT) = 중단행수` 가 전부 **1,038,262** 로 동일하다. 주차별로 집계해 더하면 **972,925** 인데 실제 distinct 회원은 **903,064** 라 **7.74% 과대**다(같은 회원이 여러 주에 중단). 🟢 BRONZE 독립 확증: 원천 `TM_MM_FDRM_MBER_SPNSR_DSCNTC` 행 **1,038,262** · distinct `MBER_NO` **903,064** — GOLD 와 정확히 일치한다. ⇒ 처방은 「사전집계 후 SUM」이 아니라 **`COUNT(DISTINCT MEMBER_DK)`(비가산)** 이며 **주차 합계를 월로 더하지 않는다**"
회원,2. 회원특성,2-1. [회원] 주간 중단보고,중단(건) *전전년 동월 주차,,FACT_MEMBER_EVENT.STOP_CNT,교정등록부(WRONG_GRAIN),WRONG_GRAIN,FACT_MEMBER_EVENT.STOP_CNT,FACT_MEMBER_EVENT,,,조립가능,[매핑교정 WRONG_GRAIN] [O56] 위와 동일 — 주차 축은 `FME` 뿐이다. ▸ 종전 매핑 `FACT_MEMBER_EVENT.STOP_CNT` → 교정 `FACT_MEMBER_EVENT.STOP_CNT` ▸ 앵커 팩트 `FACT_MEMBER_EVENT` 자체의 컬럼
회원,2. 회원특성,2-1. [회원] 주간 중단보고,중단 구성비(%),(ratio-of-total),SV metric — 구성비/비중(%) = 부분/전체×100,SV파생,,,FACT_MEMBER_EVENT,,,판정불가(SV파생),SV metric — 물리 컬럼이 아니라 base 로 계산된다. base 의 조립가능도를 따른다
회원,2. 회원특성,2-1. [회원] 주간 중단보고,전년 대비 증감(명),공59,SV metric — 증감 = 당기−전기 (P7 시계열),SV파생,,,FACT_MEMBER_EVENT,,,판정불가(SV파생),SV metric — 물리 컬럼이 아니라 base 로 계산된다. base 의 조립가능도를 따른다
