# 생성기: scripts/gen_metric_gold_mapping.py | 측정일: 2026-08-10
# 본 파일은 자동 생성물입니다. 직접 수정 금지 — 생성기 scripts/gen_metric_gold_mapping.py 수정 후 재실행하세요.

## 지표 → GOLD 매핑 (215)
지표#,구분,지표명,유형,소스,단위,GOLD_배속,GOLD_매핑(물리컬럼/SV base),SILVER_원천,BRONZE_원천,정본_계산식,상태,상태_근거
공65,납입,누계납부율(%),derived,CRM,%,SV,SV metric — 분자: PAID_FEE(YTD) / 분모: BILLED_AMT(YTD),CRM_PAYMENT_BILLING.PAY_AMT,TM_PM_DNTN_DTLS;TM_PM_MBRFEE_ACMSLT,(누계납부회비 원 / 누계 청구회비 원) * 100,PARTIAL,"실측: `FACT_MEMBER_MONTHLY.PAID_FEE` 비영 36,089,538/40,054,883 (90.1%) · 채움률 95% 미만"
공66,납입,정기회비,measure,CRM,원,FMM,FMM.REGULAR_FEE,CRM_PAYMENT_BILLING.PAY_AMT,TM_PM_DNTN_DTLS;TM_PM_MBRFEE_ACMSLT,,PARTIAL,"실측: `FACT_MEMBER_MONTHLY.REGULAR_FEE` 비영 35,433,287/40,054,883 (88.5%) · 채움률 95% 미만"
공67,납입,정기회원 일시회비,measure,CRM,원,FMM,FMM (measure — 컬럼 06_DDL.sql 확인),CRM_PAYMENT_BILLING.PAY_DE,TM_PM_DNTN_DTLS;TM_PM_MBRFEE_ACMSLT,"정기회원이 정기후원사업 외 비지정(기타, 국내사업, 해외사업)으로 납부하는 일시회비",OK,추정: 배속·원천 계통에 알려진 제약 없음 — 대응 물리 컬럼 미특정
공68,납입,일시회원 일시회비,measure,CRM,원,FMM,FMM (measure — 컬럼 06_DDL.sql 확인),CRM_PAYMENT_BILLING.PAY_DE,TM_PM_DNTN_DTLS;TM_PM_MBRFEE_ACMSLT,일시회원이 납부하는 회비,OK,추정: 배속·원천 계통에 알려진 제약 없음 — 대응 물리 컬럼 미특정
공69,납입,납입회비,measure,CRM,원,FMM,FMM.PAID_FEE,CRM_PAYMENT_BILLING.PAY_AMT,TM_PM_DNTN_DTLS;TM_PM_MBRFEE_ACMSLT,,PARTIAL,"실측: `FACT_MEMBER_MONTHLY.PAID_FEE` 비영 36,089,538/40,054,883 (90.1%) · 채움률 95% 미만"
공70,납입,납입,measure,CRM,원,FMM,FMM.PAID_FEE,CRM_PAYMENT_BILLING.PAY_AMT,TM_PM_DNTN_DTLS;TM_PM_MBRFEE_ACMSLT,,PARTIAL,"실측: `FACT_MEMBER_MONTHLY.PAID_FEE` 비영 36,089,538/40,054,883 (90.1%) · 채움률 95% 미만"
공71,납입,청구,measure,CRM,원,FMM,FMM.BILLED_AMT,CRM_PAYMENT_BILLING.RQEST_AMT,TM_PM_DNTN_DTLS;TM_PM_MBRFEE_ACMSLT,,PARTIAL,"실측: `FACT_MEMBER_MONTHLY.BILLED_AMT` 비영 37,148,524/40,054,883 (92.7%) · 채움률 95% 미만"
공72,개발/활동,후원금액대1,dimension,CRM,코드,FMM(스냅샷),FMM(스냅샷),,,"조회년월 기준 후원 약정금액 ( = 개발된 후원사업별 금액 ) / 10,000원",OK,추정: 배속·원천 계통에 알려진 제약 없음 — 대응 물리 컬럼 미특정
공73,개발/활동,후원금액대2,dimension,CRM,코드,FMM(스냅샷),FMM(스냅샷),,,"조회년월 기준 후원 약정금액 ( = 개발된 후원사업별 금액 ) / 10,000원",OK,추정: 배속·원천 계통에 알려진 제약 없음 — 대응 물리 컬럼 미특정
공74,개발/활동,후원기간대1,dimension,CRM,코드,FMM(스냅샷),FMM(스냅샷),,,"캠페인 가입일자부터 조회년월까지의 기간을 개월 기준으로, 년 기준으로 구분",OK,추정: 배속·원천 계통에 알려진 제약 없음 — 대응 물리 컬럼 미특정
공75,개발/활동,후원기간대2,dimension,CRM,코드,FMM(스냅샷),FMM(스냅샷),,,"캠페인 가입일자부터 조회년월까지의 기간을 개월 기준으로, 년 기준으로 구분",OK,추정: 배속·원천 계통에 알려진 제약 없음 — 대응 물리 컬럼 미특정
공76,미납,미납율(%),derived,CRM,%,SV,SV metric — 분자: UNPAID_CNT / 분모: ACTIVE_CNT,CRM_MEMBER;CRM_MEMBER_AMT_CHANGE;CRM_PAYMENT_BILLING,TC_CMMN_DTL_CD;TM_MM_FDRM_MBER_INFO;TM_MM_FDRM_MBER_IRSD;TM_MM_ONCE_MBER_INFO;TM_PM_DNTN_DTLS;TM_PM_MBRFEE_ACMSLT,미납(건) / 활동(건),WAIT,실측: `FACT_MEMBER_MONTHLY.UNPAID_CNT` 전건 0 — 설계O·값 미주입
공77,미납,신규 미납율(%),derived,CRM,%,SV,SV metric — 분자: UNPAID_CNT[신규] / 분모: ACTIVE_CNT[신규],CRM_MEMBER;CRM_MEMBER_AMT_CHANGE;CRM_PAYMENT_BILLING,TC_CMMN_DTL_CD;TM_MM_FDRM_MBER_INFO;TM_MM_FDRM_MBER_IRSD;TM_MM_ONCE_MBER_INFO;TM_PM_DNTN_DTLS;TM_PM_MBRFEE_ACMSLT,신규미납(건) / 신규활동(건),WAIT,실측: `FACT_MEMBER_MONTHLY.UNPAID_CNT` 전건 0 — 설계O·값 미주입
공78,미납,기존 미납율(%),derived,CRM,%,SV,SV metric — 분자: UNPAID_CNT[기존] / 분모: ACTIVE_CNT[기존],CRM_MEMBER;CRM_MEMBER_AMT_CHANGE;CRM_PAYMENT_BILLING,TC_CMMN_DTL_CD;TM_MM_FDRM_MBER_INFO;TM_MM_FDRM_MBER_IRSD;TM_MM_ONCE_MBER_INFO;TM_PM_DNTN_DTLS;TM_PM_MBRFEE_ACMSLT,기존미납(건) / 기존활동(건),WAIT,실측: `FACT_MEMBER_MONTHLY.UNPAID_CNT` 전건 0 — 설계O·값 미주입
공79,미납,후원사업별 미납율(%),derived,CRM,%,SV,SV metric — 분자: UNPAID_CNT / 분모: ACTIVE_CNT,CRM_MEMBER;CRM_MEMBER_AMT_CHANGE;CRM_PAYMENT_BILLING,TC_CMMN_DTL_CD;TM_MM_FDRM_MBER_INFO;TM_MM_FDRM_MBER_IRSD;TM_MM_ONCE_MBER_INFO;TM_PM_DNTN_DTLS;TM_PM_MBRFEE_ACMSLT,후원사업 미납(건) / 후원사업 활동(건),WAIT,실측: `FACT_MEMBER_MONTHLY.UNPAID_CNT` 전건 0 — 설계O·값 미주입
공80,미납,미납회원 감소율(%),derived,CRM,%,SV,SV metric — 분자: UNPAID_MEMBERS(월초·월말) / 분모: UNPAID_MEMBERS(월초),,,(월초미납명수 − 월말미납명수) / 월초미납명수,OK,추정: 배속·원천 계통에 알려진 제약 없음 — 대응 물리 컬럼 미특정
공81,미납,미납서비스 전환율(%),derived,복합,%,SV,SV metric — 분자: 납입전환 회원(명) / 분모: GA 미납서비스 클릭회원(명),,,납입회원(명) / 미납서비스 클릭회원(명) * 100,PARTIAL,추정: GA↔CRM identity 브리지 의존 — 물리 컬럼 미특정
공82,미납,미납사유,dimension,CRM,코드,DIM_REASON,DIM_REASON,CRM_CODE.DTL_CD_ID,TC_CMMN_DTL_CD,CRM > 회원요약정보 > 회비내역 > 미납/환급정보 > 미납내역,OK,"추정: 배속 차원 `DIM_REASON` 5,839행 실재 — 대응 물리 컬럼 미특정"
공83,미납,캠페인별 미납(건),measure,CRM,건,FMM,FMM.CAMPAIGN_UNPAID_CNT,CRM_MEMBER;CRM_MEMBER_AMT_CHANGE;CRM_PAYMENT_BILLING,TC_CMMN_DTL_CD;TM_MM_FDRM_MBER_INFO;TM_MM_FDRM_MBER_IRSD;TM_MM_ONCE_MBER_INFO;TM_PM_DNTN_DTLS;TM_PM_MBRFEE_ACMSLT,"캠페인별 미납회비금액 / 10,000원",WAIT,실측: `FACT_MEMBER_MONTHLY.CAMPAIGN_UNPAID_CNT` 전건 0 — 설계O·값 미주입
공84,미납,회원상태별 미납(건),measure,CRM,건,FMM,FMM (measure — 컬럼 06_DDL.sql 확인),CRM_PAYMENT_BILLING.PAY_DE,TM_PM_DNTN_DTLS;TM_PM_MBRFEE_ACMSLT,"회원상태별 미납회비금액 / 10,000원",OK,추정: 배속·원천 계통에 알려진 제약 없음 — 대응 물리 컬럼 미특정
공85,서비스,발송수(명),measure,CRM,명,FSE,FSE.SEND_MEMBERS,CRM_SEND_REQUEST.SNDNG_TY_CD,SND_REQ_MST;TM_MS_EMAIL_SNDNG;TM_MS_MSG_AT_SNDNG;TM_MS_PSTMTR_SNDNG,회원번호 개수 기준 (중복 포함),OK,"실측: `FACT_SERVICE_EVENT.SEND_MEMBERS` 비영 38,470,780/38,470,780 (100.0%)"
공86,서비스,성공수(명),measure,CRM,명,FSE,FSE.SUCCESS_MEMBERS,CRM_SEND_REQUEST.SNDNG_TY_CD,SND_REQ_MST;TM_MS_EMAIL_SNDNG;TM_MS_MSG_AT_SNDNG;TM_MS_PSTMTR_SNDNG,회원번호 개수 기준 (중복 포함),WAIT,실측: `FACT_SERVICE_EVENT.SUCCESS_MEMBERS` 전건 0 — 설계O·값 미주입
공87,서비스,실패수(명),measure,CRM,명,FSE,FSE.FAIL_MEMBERS,CRM_SEND_MEMBER;CRM_SEND_REQUEST,SND_MEMBER_LIST;SND_REQ_MST;TD_MS_EMAIL_SNDNG_DTLS;TD_MS_MSG_AT_SNDNG_DTLS;TD_MS_PSTMTR_SNDNG_DTL;TM_MS_EMAIL_SNDNG;TM_MS_MSG_AT_SNDNG;TM_MS_PSTMTR_SNDNG,회원번호 개수 기준 (중복 포함),WAIT,실측: `FACT_SERVICE_EVENT.FAIL_MEMBERS` 전건 0 — 설계O·값 미주입
공88,서비스,서신참여(명),measure,CRM,명,FSE,FSE.LETTER_PART_MEMBERS,CRM_SEND_MEMBER;CRM_SEND_REQUEST,SND_MEMBER_LIST;SND_REQ_MST;TD_MS_EMAIL_SNDNG_DTLS;TD_MS_MSG_AT_SNDNG_DTLS;TD_MS_PSTMTR_SNDNG_DTL;TM_MS_EMAIL_SNDNG;TM_MS_MSG_AT_SNDNG;TM_MS_PSTMTR_SNDNG,회원번호 개수 기준 (중복 포함),WAIT,실측: `FACT_SERVICE_EVENT.LETTER_PART_MEMBERS` 전건 0 — 설계O·값 미주입
공89,서비스,서신참여(건),measure,CRM,건,FSE,FSE (measure — 컬럼 06_DDL.sql 확인),CRM_SEND_MEMBER.SNDNG_DE,SND_MEMBER_LIST;TD_MS_EMAIL_SNDNG_DTLS;TD_MS_MSG_AT_SNDNG_DTLS;TD_MS_PSTMTR_SNDNG_DTL,,OK,추정: 배속·원천 계통에 알려진 제약 없음 — 대응 물리 컬럼 미특정
공90,서비스,선물금참여(명),measure,CRM,명,FSE,FSE.GIFT_PART_MEMBERS,CRM_SEND_MEMBER;CRM_SEND_REQUEST,SND_MEMBER_LIST;SND_REQ_MST;TD_MS_EMAIL_SNDNG_DTLS;TD_MS_MSG_AT_SNDNG_DTLS;TD_MS_PSTMTR_SNDNG_DTL;TM_MS_EMAIL_SNDNG;TM_MS_MSG_AT_SNDNG;TM_MS_PSTMTR_SNDNG,회원번호 개수 기준 (중복 포함),WAIT,실측: `FACT_SERVICE_EVENT.GIFT_PART_MEMBERS` 전건 0 — 설계O·값 미주입
공91,서비스,선물금참여(원),measure,CRM,원,FSE,FSE.GIFT_PART_AMT,CRM_SEND_MEMBER;CRM_SEND_REQUEST,SND_MEMBER_LIST;SND_REQ_MST;TD_MS_EMAIL_SNDNG_DTLS;TD_MS_MSG_AT_SNDNG_DTLS;TD_MS_PSTMTR_SNDNG_DTL;TM_MS_EMAIL_SNDNG;TM_MS_MSG_AT_SNDNG;TM_MS_PSTMTR_SNDNG,,WAIT,실측: `FACT_SERVICE_EVENT.GIFT_PART_AMT` 전건 0 — 설계O·값 미주입
공92,서비스,방문수(명),measure,GA4,명,FGA,FGA (measure — 컬럼 06_DDL.sql 확인),GA4_EVENT.EVENT_DT,,,PARTIAL,추정: GA4 원천 계통(1일 샤드·identity 4%대) — 물리 컬럼 미특정
공93,서비스,활성사용자수(명),measure,GA4,명,FGA,FGA (measure — 컬럼 06_DDL.sql 확인),GA4_EVENT.EVENT_DT,,,PARTIAL,추정: GA4 원천 계통(1일 샤드·identity 4%대) — 물리 컬럼 미특정
공94,서비스,총사용자(명),measure,GA4,명,FGA,FGA (measure — 컬럼 06_DDL.sql 확인),GA4_EVENT.EVENT_DT,,,PARTIAL,추정: GA4 원천 계통(1일 샤드·identity 4%대) — 물리 컬럼 미특정
공95,서비스,이벤트수(명),measure,GA4,명,FGA,FGA (measure — 컬럼 06_DDL.sql 확인),GA4_EVENT.EVENT_DT,,,PARTIAL,추정: GA4 원천 계통(1일 샤드·identity 4%대) — 물리 컬럼 미특정
공96,서비스,조회수(명),measure,GA4,명,FGA,FGA (measure — 컬럼 06_DDL.sql 확인),GA4_EVENT.EVENT_DT,,,PARTIAL,추정: GA4 원천 계통(1일 샤드·identity 4%대) — 물리 컬럼 미특정
공97,서비스,세션수(명),measure,GA4,명,FGA,FGA.SESSION_CNT,GA4_EVENT.GA_SESSION_ID,,,PARTIAL,"실측: `FACT_GA_BEHAVIOR.SESSION_CNT` 비영 68,836/68,836 (100.0%) · ⚠️ 채움률은 **적재된 샤드 내부** 기준이다 — GA4 전기간 미입고(G-5)"
공98,서비스,평균세션시간,derived,GA4,기간,FGA,FGA 물리적재(비가산) — ,,,,WAIT,실측: `FACT_GA_BEHAVIOR.AVG_SESSION_DURATION` 전건 0 — 설계O·값 미주입
공99,서비스,event_category,dimension,GA4,코드,DIM_GA_EVENT,DIM_GA_EVENT,GA4_EVENT_DIM.EVENT_CATEGORY,,member_id가 (not set)이 아닌 데이터,PARTIAL,"추정: 배속 차원 `DIM_GA_EVENT` 4,017행 실재 — 대응 물리 컬럼 미특정"
공100,서비스,event_label,dimension,GA4,코드,DIM_GA_EVENT,DIM_GA_EVENT,GA4_EVENT_DIM.EVENT_CATEGORY,,"후원b1, 후원b2, 1단_대문, 퀵버튼 등",PARTIAL,"추정: 배속 차원 `DIM_GA_EVENT` 4,017행 실재 — 대응 물리 컬럼 미특정"
공101,서비스,event_action,dimension,GA4,코드,DIM_GA_EVENT,DIM_GA_EVENT,GA4_EVENT_DIM.EVENT_CATEGORY,,member_id가 (not set)이 아닌 데이터,PARTIAL,"추정: 배속 차원 `DIM_GA_EVENT` 4,017행 실재 — 대응 물리 컬럼 미특정"
공102,서비스,세션캠페인,dimension,GA4,코드,DIM_CAMPAIGN,DIM_CAMPAIGN,CRM_CAMPAIGN.CMPGN_NM,TC_CMMN_DTL_CD;TM_CM_BRND_MNG;TM_CM_CMPGN_MNG;TM_CM_MKTNG_CMPGN_MNG,2024 기념일 캠페인 / 2024 ACL 등,PARTIAL,"추정: 배속 차원 `DIM_CAMPAIGN` 36,144행 실재 — 대응 물리 컬럼 미특정"
공103,서비스,세션 수동 광고 콘텐츠,dimension,GA4,코드,DIM_GA_SOURCE,DIM_GA_SOURCE,GA4_TRAFFIC_SOURCE.UTM_SOURCE,,기부금영수증 인쇄 / 로그인하기 / 전체메뉴보기 등,PARTIAL,추정: 배속 차원 `DIM_GA_SOURCE` 147행 실재 — 대응 물리 컬럼 미특정
공104,서비스,세션 수동 검색어,dimension,GA4,코드,DIM_GA_SOURCE,DIM_GA_SOURCE,GA4_TRAFFIC_SOURCE.UTM_SOURCE,,,PARTIAL,추정: 배속 차원 `DIM_GA_SOURCE` 147행 실재 — 대응 물리 컬럼 미특정
공105,서비스,페이지경로+쿼리문자열,dimension,GA4,코드,FGA(attr),FGA(attr),,,,PARTIAL,추정: GA4 원천 계통(1일 샤드·identity 4%대) — 물리 컬럼 미특정
공106,서비스,페이지위치,dimension,GA4,코드,FGA(attr),FGA(attr),,,예) https://m.goodneighbors.kr/campaign/turn25b,PARTIAL,추정: GA4 원천 계통(1일 샤드·identity 4%대) — 물리 컬럼 미특정
공107,서비스,스크롤깊이,measure,GA4,횟수,FGA,FGA.SCROLL_DEPTH,GA4_EVENT.PERCENT_SCROLLED,,,PARTIAL,"실측: `FACT_GA_BEHAVIOR.SCROLL_DEPTH` 비영 14,042/68,836 (20.4%) · ⚠️ 채움률은 **적재된 샤드 내부** 기준이다 — GA4 전기간 미입고(G-5)"
공108,서비스,이탈율,derived,GA4,%,FGA,FGA 물리적재(비가산) — ,,,,WAIT,실측: `FACT_GA_BEHAVIOR.BOUNCE_RATE` 전건 0 — 설계O·값 미주입
공109,서비스,세션 소스/매체,dimension,GA4,코드,DIM_GA_SOURCE,DIM_GA_SOURCE,GA4_TRAFFIC_SOURCE.UTM_SOURCE,,,PARTIAL,추정: 배속 차원 `DIM_GA_SOURCE` 147행 실재 — 대응 물리 컬럼 미특정
공110,공통,회원번호,dimension,CRM,코드,DIM_MEMBER_IDENTITY,DIM_MEMBER_IDENTITY,CRM_MEMBER.MEMBER_DK,TC_CMMN_DTL_CD;TM_MM_FDRM_MBER_INFO;TM_MM_ONCE_MBER_INFO,,OK,"추정: 배속 차원 `DIM_MEMBER_IDENTITY` 1,763,066행 실재 — 대응 물리 컬럼 미특정"
공111,공통,memnum,dimension,복합,코드,DIM_MEMBER_IDENTITY,DIM_MEMBER_IDENTITY,CRM_MEMBER.MEMBER_DK,TC_CMMN_DTL_CD;TM_MM_FDRM_MBER_INFO;TM_MM_ONCE_MBER_INFO,,OK,"추정: 배속 차원 `DIM_MEMBER_IDENTITY` 1,763,066행 실재 — 대응 물리 컬럼 미특정"
공112,공통,member id,dimension,GA4,코드,DIM_MEMBER_IDENTITY,DIM_MEMBER_IDENTITY,CRM_MEMBER.MEMBER_DK,TC_CMMN_DTL_CD;TM_MM_FDRM_MBER_INFO;TM_MM_ONCE_MBER_INFO,,PARTIAL,"추정: 배속 차원 `DIM_MEMBER_IDENTITY` 1,763,066행 실재 — 대응 물리 컬럼 미특정"
공113,공통,신규기존구분,dimension,CRM,코드,DIM_MEMBER,DIM_MEMBER,CRM_MEMBER.SEX,TC_CMMN_DTL_CD;TM_MM_FDRM_MBER_INFO;TM_MM_ONCE_MBER_INFO,"신규: 당해년도 개발, 기존: 당해년도 이전 개발",OK,"추정: 배속 차원 `DIM_MEMBER` 7,925,716행 실재 — 대응 물리 컬럼 미특정"
공114,공통,법인,dimension,CRM,코드,DIM_ORG,DIM_ORG,CRM_ORG.DEPT_ID,TM_CM_DEPT_INFO,,OK,"추정: 배속 차원 `DIM_ORG` 1,315행 실재 — 대응 물리 컬럼 미특정"
공115,공통,본부/지부,dimension,CRM,코드,DIM_ORG,DIM_ORG,CRM_ORG.DEPT_ID,TM_CM_DEPT_INFO,,OK,"추정: 배속 차원 `DIM_ORG` 1,315행 실재 — 대응 물리 컬럼 미특정"
공116,공통,부서,dimension,CRM,코드,DIM_ORG,DIM_ORG,CRM_ORG.DEPT_ID,TM_CM_DEPT_INFO,,OK,"추정: 배속 차원 `DIM_ORG` 1,315행 실재 — 대응 물리 컬럼 미특정"
공117,공통,공통브랜드,dimension,CRM,코드,DIM_CAMPAIGN,DIM_CAMPAIGN,CRM_CAMPAIGN.CMPGN_NM,TC_CMMN_DTL_CD;TM_CM_BRND_MNG;TM_CM_CMPGN_MNG;TM_CM_MKTNG_CMPGN_MNG,,OK,"추정: 배속 차원 `DIM_CAMPAIGN` 36,144행 실재 — 대응 물리 컬럼 미특정"
공118,공통,홍보방법,dimension,CRM,코드,DIM_CAMPAIGN,DIM_CAMPAIGN,CRM_CAMPAIGN.CMPGN_NM,TC_CMMN_DTL_CD;TM_CM_BRND_MNG;TM_CM_CMPGN_MNG;TM_CM_MKTNG_CMPGN_MNG,,OK,"추정: 배속 차원 `DIM_CAMPAIGN` 36,144행 실재 — 대응 물리 컬럼 미특정"
공119,공통,공통상위캠페인,dimension,CRM,코드,DIM_CAMPAIGN,DIM_CAMPAIGN,CRM_CAMPAIGN.CMPGN_NM,TC_CMMN_DTL_CD;TM_CM_BRND_MNG;TM_CM_CMPGN_MNG;TM_CM_MKTNG_CMPGN_MNG,,OK,"추정: 배속 차원 `DIM_CAMPAIGN` 36,144행 실재 — 대응 물리 컬럼 미특정"
공120,공통,캠페인,dimension,CRM,코드,DIM_CAMPAIGN,DIM_CAMPAIGN,CRM_CAMPAIGN.CMPGN_NM,TC_CMMN_DTL_CD;TM_CM_BRND_MNG;TM_CM_CMPGN_MNG;TM_CM_MKTNG_CMPGN_MNG,,OK,"추정: 배속 차원 `DIM_CAMPAIGN` 36,144행 실재 — 대응 물리 컬럼 미특정"
공121,공통,개발구분,dimension,CRM,코드,FMM(degen),FMM(degen),,,,OK,추정: 배속·원천 계통에 알려진 제약 없음 — 대응 물리 컬럼 미특정
공122,공통,결연아동코드,dimension,GA4,코드,DIM_MEMBER_IDENTITY,DIM_MEMBER_IDENTITY,CRM_MEMBER.MEMBER_DK,TC_CMMN_DTL_CD;TM_MM_FDRM_MBER_INFO;TM_MM_ONCE_MBER_INFO,"""페이지 경로+쿼리 문자열""에서 파생. URL에서 childnum= 뒤에 오는 13자리. 예) https://gni.kr/url/25acl_25ABC.gn?memnum=1831636&childnum=CMR-0102-002758 → 결연아동코드 = CMR-0102-002758",PARTIAL,추정: GA↔CRM identity 브리지 의존 — 물리 컬럼 미특정
공123,공통,후원사업(전체),dimension,CRM,코드,DIM_SPONSORSHIP,DIM_SPONSORSHIP,CRM_SPONSORSHIP.SPNSR_BSNS_ID,TM_CM_SPNSR_BSNS_INFO,,OK,추정: 배속 차원 `DIM_SPONSORSHIP` 51행 실재 — 대응 물리 컬럼 미특정
공124,공통,후원사업(약칭),dimension,CRM,코드,DIM_SPONSORSHIP,DIM_SPONSORSHIP,CRM_SPONSORSHIP.SPNSR_BSNS_ID,TM_CM_SPNSR_BSNS_INFO,"국내사단(국내아동권리보호사업(사단법인), 결식아동지원, 아동학대예방, 저소득가정지원), 국내사복(국내아동권리보호사업(사회복지법인), 국내사업, 좋은이웃(사복)), 결연(해외아동결연), 해외구호(희망학교지원사업, 해외교육지원사업, 보건의료지원사업, 식수위생지원사업, 재난구호지원사업, 해외지역개발지원사업), 기타(대북지원사업, 좋은이웃, 전체사업지원)",OK,추정: 배속 차원 `DIM_SPONSORSHIP` 51행 실재 — 대응 물리 컬럼 미특정
공125,공통,납입방식,dimension,CRM,코드,DIM_PAYMENT,DIM_PAYMENT,CRM_PAYMENT_METHOD.SETLE_NM,TC_CMMN_DTL_CD;TM_PM_SETLE_INFO,,OK,추정: 배속 차원 `DIM_PAYMENT` 7행 실재 — 대응 물리 컬럼 미특정
공126,공통,캠페인별 납입방식,dimension,CRM,코드,DIM_PAYMENT,DIM_PAYMENT,CRM_PAYMENT_METHOD.SETLE_NM,TC_CMMN_DTL_CD;TM_PM_SETLE_INFO,,OK,추정: 배속 차원 `DIM_PAYMENT` 7행 실재 — 대응 물리 컬럼 미특정
공127,공통,후원기간(개월),dimension,CRM,기간,FMM(스냅샷),FMM(스냅샷),,,,OK,추정: 배속·원천 계통에 알려진 제약 없음 — 대응 물리 컬럼 미특정
공128,공통,후원기간(년),dimension,CRM,기간,FMM(스냅샷),FMM(스냅샷),,,,OK,추정: 배속·원천 계통에 알려진 제약 없음 — 대응 물리 컬럼 미특정
공129,공통,납입개월수,dimension,CRM,기간,FMM(스냅샷),FMM(스냅샷),,,,OK,추정: 배속·원천 계통에 알려진 제약 없음 — 대응 물리 컬럼 미특정
공130,공통,성별,dimension,CRM,코드,DIM_MEMBER,DIM_MEMBER,CRM_MEMBER.SEX,TC_CMMN_DTL_CD;TM_MM_FDRM_MBER_INFO;TM_MM_ONCE_MBER_INFO,,OK,"추정: 배속 차원 `DIM_MEMBER` 7,925,716행 실재 — 대응 물리 컬럼 미특정"
공131,공통,지역,dimension,CRM,코드,DIM_MEMBER,DIM_MEMBER,CRM_MEMBER.SEX,TC_CMMN_DTL_CD;TM_MM_FDRM_MBER_INFO;TM_MM_ONCE_MBER_INFO,,OK,"추정: 배속 차원 `DIM_MEMBER` 7,925,716행 실재 — 대응 물리 컬럼 미특정"
공132,공통,회원상태,dimension,CRM,코드,DIM_MEMBER,DIM_MEMBER,CRM_MEMBER.SEX,TC_CMMN_DTL_CD;TM_MM_FDRM_MBER_INFO;TM_MM_ONCE_MBER_INFO,,OK,"추정: 배속 차원 `DIM_MEMBER` 7,925,716행 실재 — 대응 물리 컬럼 미특정"
공133,공통,발송구분(대),dimension,CRM,코드,DIM_SERVICE,DIM_SERVICE,CRM_SEND_REQUEST.SNDNG_TY_CD,SND_REQ_MST;TM_MS_EMAIL_SNDNG;TM_MS_MSG_AT_SNDNG;TM_MS_PSTMTR_SNDNG,,OK,추정: 배속 차원 `DIM_SERVICE` 11행 실재 — 대응 물리 컬럼 미특정
공134,공통,발송구분(중),dimension,CRM,코드,DIM_SERVICE,DIM_SERVICE,CRM_SEND_REQUEST.SNDNG_TY_CD,SND_REQ_MST;TM_MS_EMAIL_SNDNG;TM_MS_MSG_AT_SNDNG;TM_MS_PSTMTR_SNDNG,,OK,추정: 배속 차원 `DIM_SERVICE` 11행 실재 — 대응 물리 컬럼 미특정
공135,공통,발송구분(소),dimension,CRM,코드,DIM_SERVICE,DIM_SERVICE,CRM_SEND_REQUEST.SNDNG_TY_CD,SND_REQ_MST;TM_MS_EMAIL_SNDNG;TM_MS_MSG_AT_SNDNG;TM_MS_PSTMTR_SNDNG,,OK,추정: 배속 차원 `DIM_SERVICE` 11행 실재 — 대응 물리 컬럼 미특정
공136,공통,제목(발송),dimension,CRM,코드,FSE(degen),FSE(degen),,,,OK,추정: 배속·원천 계통에 알려진 제약 없음 — 대응 물리 컬럼 미특정
공137,공통,발송일,dimension,CRM,기간,DIM_DATE,DIM_DATE,,,,OK,"추정: 배속 차원 `DIM_DATE` 16,437행 실재 — 대응 물리 컬럼 미특정"
공138,공통,발송상태,dimension,CRM,코드,FSE(degen),FSE(degen),,,,OK,추정: 배속·원천 계통에 알려진 제약 없음 — 대응 물리 컬럼 미특정
공139,공통,발송(+5일차) 서신참여(명),measure,CRM,명,FSE,FSE.D5_LETTER_PART_*,,,,OK,추정: 배속·원천 계통에 알려진 제약 없음 — 대응 물리 컬럼 미특정
공140,공통,발송(+5일차) 서신참여(건),measure,CRM,건,FSE,FSE.D5_GIFT_PART_*,,,,OK,추정: 배속·원천 계통에 알려진 제약 없음 — 대응 물리 컬럼 미특정
공141,공통,발송(+5일차) 선물금참여(명),measure,CRM,명,FSE,FSE.D5_LETTER_PART_*,,,,OK,추정: 배속·원천 계통에 알려진 제약 없음 — 대응 물리 컬럼 미특정
공142,공통,발송(+5일차) 선물금참여(건),measure,CRM,건,FSE,FSE.D5_LETTER_PART_*,,,,OK,추정: 배속·원천 계통에 알려진 제약 없음 — 대응 물리 컬럼 미특정
공143,공통,발송(+5일차) 증액참여(명),measure,CRM,명,FSE,FSE.D5_INCREASE_PART_(MEMBERS,,,,OK,추정: 배속·원천 계통에 알려진 제약 없음 — 대응 물리 컬럼 미특정
공144,공통,발송(+5일차) 증액참여(건),measure,CRM,건,FSE,FSE.CNT),,,,OK,추정: 배속·원천 계통에 알려진 제약 없음 — 대응 물리 컬럼 미특정
공145,공통,발송(+5일차) 중단(명),measure,CRM,명,FSE,FSE.D5_STOP_(MEMBERS,,,,OK,추정: 배속·원천 계통에 알려진 제약 없음 — 대응 물리 컬럼 미특정
공146,공통,발송(+5일차) 중단(건),measure,CRM,건,FSE,FSE.CNT),,,,OK,추정: 배속·원천 계통에 알려진 제약 없음 — 대응 물리 컬럼 미특정
